LOAN_ID,TOTAL_AMOUNT,INTREST,AMOUNT_LEFT,OFFERED_BY,OFFERED_TO
1,17908,16.88,17302,BeG,445
2,72606,11.61,72252,BrC,199
3,88842,19.72,88719,B2U,942
4,30837,12.38,30200,Bm9,627
5,87470,9.08,86479,BFw,789
6,5639,14.79,5475,Br2,91
7,62387,10.99,62101,BGY,607
8,94663,8.6,94448,B6c,608
9,6518,7.9,6400,BxE,719
10,71795,17.0,71639,B6Z,336
11,65605,11.94,65537,Bs4,949
12,68248,14.6,68229,B3c,119
13,41807,15.04,41602,BLS,547
14,87239,19.43,86564,BvO,209
15,54842,7.45,54170,BnL,429
16,59735,11.46,58884,Bs4,672
17,24002,9.53,23527,Bzx,176
18,85009,15.9,84908,BaO,142
19,92323,14.18,91377,BBr,748
20,13453,11.97,12515,BdV,301
21,4481,9.93,4273,BW8,67
22,34989,18.76,34089,B90,26
23,80100,7.21,79382,BxL,514
24,88558,15.4,87894,BRU,395
25,1829,16.78,1786,BXD,510
26,76732,17.44,76298,BRu,970
27,27989,10.58,27058,B6Z,648
28,77915,15.5,77182,BH4,99
29,32740,18.73,32633,Bao,657
30,94658,18.93,93746,BzG,708
31,70644,14.91,70432,BFw,482
32,48177,8.16,47239,BxE,495
33,16778,19.7,16693,Byz,720
34,11787,10.64,11471,BOe,480
35,30855,7.67,29892,B1i,465
36,38374,19.06,37797,BDT,616
37,17629,12.46,16999,BTU,735
38,85677,18.46,85152,BTt,591
39,93850,19.93,92910,B9I,847
40,14328,14.62,13646,BGD,168
41,21142,13.28,20233,Be6,869
42,99014,17.4,98962,BaO,654
43,95662,11.42,95143,B88,526
44,67696,10.64,66892,BeG,36
45,64100,14.59,63904,BTs,300
46,25692,12.23,24778,BxE,882
47,43038,16.53,42908,Bv5,971
48,58456,11.13,57535,B3c,455
49,87014,16.68,86964,BhO,41
50,36949,15.6,36726,Bzi,497
51,60502,19.73,60192,BRU,336
52,19076,17.12,18279,BYi,655
53,30810,8.35,30042,BRU,142
54,87905,9.75,87306,B88,598
55,23087,11.27,22356,BRU,687
56,72046,19.79,71539,BwA,510
57,63535,13.78,63278,BZX,395
58,2177,12.98,1430,Bsw,561
59,3439,13.27,3021,BLF,782
60,24212,14.97,23263,Bwa,345
61,84539,11.75,84090,B2U,122
62,31392,18.96,30429,BTO,568
63,8467,17.63,7943,Bon,940
64,20189,11.06,20054,B2U,692
65,49472,12.86,48939,B9K,244
66,24010,17.37,23952,B6c,672
67,79045,16.35,78693,BdV,730
68,3408,10.31,3132,BYF,438
69,20884,8.09,20268,B9K,738
70,60935,10.31,60350,Bzx,569
71,31903,7.4,30915,Be6,505
72,16195,12.4,15259,BmN,59
73,96564,15.51,96231,BmN,830
74,66510,17.24,65652,B14,319
75,16518,9.98,16318,BSE,929
76,83238,18.97,82969,BdV,947
77,30537,10.45,29956,Bwa,874
78,4450,15.18,4382,BwA,258
79,10827,13.52,10605,BQf,857
80,21907,19.41,20991,BTe,253
81,75041,9.73,74735,Bsw,483
82,30513,14.47,29649,BXJ,280
83,50702,16.73,49917,B6Z,253
84,50330,18.01,49712,BxL,577
85,95642,18.62,95222,BaO,356
86,14370,13.14,13782,BGY,462
87,33842,12.9,33365,BPx,710
88,21351,12.78,21269,Bqv,907
89,73078,13.87,72305,Bs4,359
90,70025,14.34,69195,BmC,94
91,34943,10.33,34708,BTt,484
92,64236,7.05,63799,Bgt,603
93,46412,17.68,46127,Bwd,753
94,84466,11.25,84255,B1T,712
95,3441,10.53,3274,Bqr,467
96,58164,13.18,57373,BW8,50
97,70185,10.78,69657,B14,235
98,33229,18.39,32323,B1i,315
99,2435,13.35,1978,BH4,277
100,65523,18.45,65147,BxL,634
101,71885,13.3,70932,Bsw,179
102,93743,7.72,93085,BhO,224
103,45292,9.5,44986,BwA,778
104,96719,13.15,96667,B02,826
105,12245,11.03,11790,BaO,940
106,69144,10.06,68341,BmN,595
107,15788,7.99,15625,Bvj,915
108,7507,13.08,7501,Ba6,472
109,15013,14.78,14500,Bzi,483
110,44605,14.93,43778,BLF,889
111,5065,10.82,4204,BOe,619
112,48921,9.04,48755,BhP,274
113,51946,19.22,51727,B1i,989
114,57671,14.88,57203,BW8,780
115,66666,10.48,66249,BYi,727
116,24402,17.65,23576,Bbl,259
117,48524,10.22,47553,BeG,142
118,14742,13.35,14186,BhO,904
119,90741,8.79,90307,BoK,99
120,31728,7.7,30921,BFw,982
121,83386,19.6,82777,BXJ,352
122,5357,12.67,5063,BnL,833
123,31204,7.43,30867,B9K,114
124,68749,17.21,68438,BxL,499
125,31916,11.97,30961,Bgt,97
126,11981,12.03,11882,BDW,6
127,3898,11.39,3153,BOe,778
128,76561,13.28,76141,Bm9,887
129,26426,12.93,25787,BTs,644
130,97921,18.85,96952,BTe,78
131,35845,17.39,35653,BwA,374
132,51436,7.56,51257,B3c,642
