TRANSACTION_ID,AMOUNT,TRANSACTION_DATE,REMARKS,TO_ACC,FROM_ACC
1,1471,2023-10-24,Lid Coffeecup 12oz D9542b,561,840
2,6381,2024-01-24,"Bread - Crumbs, Bulk",782,189
3,1062,2024-01-04,Capon - Whole,857,745
4,8395,2024-05-31,Irish Cream - Butterscotch,204,877
5,5260,2023-10-22,"Cod - Salted, Boneless",437,266
6,8192,2024-06-16,Corn Syrup,226,887
7,8264,2023-11-08,Flour - Pastry,360,549
8,2626,2023-11-11,Island Oasis - Sweet And Sour Mix,716,12
9,5838,2023-09-25,Wine - Coteaux Du Tricastin Ac,132,221
10,6358,2024-01-08,"Lemonade - Island Tea, 591 Ml",846,483
11,6520,2023-12-28,Food Colouring - Red,406,219
12,8424,2023-12-21,Butter Sweet,223,753
13,7032,2023-06-25,"Wine - Red, Gamay Noir",919,344
14,3130,2024-01-04,Soup Campbells Split Pea And Ham,260,816
15,8676,2023-07-03,Mackerel Whole Fresh,604,724
16,6373,2023-07-15,Shrimp - Black Tiger 8 - 12,749,377
17,4278,2023-08-24,"Sauce - Soya, Dark",909,737
18,4773,2023-12-31,Tequila Rose Cream Liquor,462,590
19,2185,2024-06-22,Cheese - Pied De Vents,581,69
20,9299,2023-10-21,Cheese - Goat With Herbs,195,554
21,2132,2024-03-20,Foil - 4oz Custard Cup,23,290
22,3438,2024-05-04,Sweet Pea Sprouts,727,101
23,3709,2023-09-23,"C - Plus, Orange",269,772
24,1158,2023-07-07,Pepper - Gypsy Pepper,540,699
25,9844,2024-05-28,Pancetta,290,680
26,5162,2023-08-15,Soap - Mr.clean Floor Soap,78,54
27,8528,2024-03-19,Wakami Seaweed,415,174
28,5908,2023-07-03,Beef - Ground Lean Fresh,630,26
29,1866,2023-08-30,Garlic Powder,599,255
30,4276,2024-03-20,"Sauce - Apple, Unsweetened",556,22
31,4934,2024-01-07,Durian Fruit,334,220
32,6443,2024-05-26,Salt - Seasoned,57,601
33,1071,2023-12-01,"Mushroom - Shitake, Dry",143,784
34,8464,2023-07-14,"Butter - Salted, Micro",227,674
35,8951,2023-08-28,Lime Cordial - Roses,447,982
36,6453,2023-07-23,"Potatoes - Yukon Gold, 80 Ct",602,684
37,1982,2023-09-22,Ginsing - Fresh,242,617
38,8530,2023-10-11,Tea - Orange Pekoe,5,607
39,8549,2024-02-29,"Beef - Tenderlion, Center Cut",644,825
40,6535,2023-07-25,Truffle - Whole Black Peeled,744,305
41,7706,2023-11-06,Squid - Tubes / Tenticles 10/20,570,121
42,7519,2023-08-23,Banana Turning,172,470
43,8032,2023-09-08,Saskatoon Berries - Frozen,930,518
44,6947,2024-02-12,Hog / Sausage Casing - Pork,227,97
45,2147,2023-07-01,Milkettes - 2%,907,624
46,5230,2023-09-30,Tart - Lemon,892,188
47,8833,2024-06-21,Beer - Sleeman Fine Porter,382,756
48,4390,2023-06-28,Tomato Paste,492,123
49,4209,2023-11-05,Banana Turning,748,149
50,7833,2023-09-21,Pork - Inside,528,821
51,5750,2023-12-16,"Bread - Bagels, Plain",338,132
52,3870,2024-02-16,Aspic - Light,716,672
53,9710,2024-01-10,Extract - Rum,147,239
54,1838,2024-04-17,Beets - Pickled,824,344
55,2246,2023-12-12,Chocolate - Sugar Free Semi Choc,526,612
56,1579,2023-12-22,Cheese - Mix,485,889
57,5479,2024-02-11,Oats Large Flake,982,105
58,8895,2024-03-02,Wine - Beringer Founders Estate,134,410
59,4247,2024-01-22,Shallots,165,854
60,5626,2023-09-02,Yogurt - Plain,702,13
61,9105,2023-07-29,Jello - Assorted,315,935
62,7830,2023-08-02,Brandy Cherry - Mcguinness,281,117
63,4898,2024-06-17,"Turkey - Breast, Boneless Sk On",38,557
64,8044,2024-01-22,Nut - Macadamia,274,719
65,6451,2023-07-17,Tomatoes - Roma,575,371
66,3848,2024-04-05,"Pork - Tenderloin, Frozen",746,232
67,2316,2024-02-29,Sauce - Fish 25 Ozf Bottle,393,267
68,2271,2024-05-08,Plastic Arrow Stir Stick,819,571
69,3966,2024-05-06,Onions - Red,620,995
70,1660,2024-04-14,French Pastries,718,688
71,9733,2023-11-26,Smoked Tongue,549,180
72,2262,2023-12-29,Pimento - Canned,471,541
73,6319,2023-09-08,Lobster - Canned Premium,674,922
74,6445,2023-11-08,Pastry - Butterscotch Baked,341,290
75,6928,2024-04-23,Country Roll,45,551
76,8179,2023-11-30,Croissants Thaw And Serve,509,113
77,2852,2023-08-22,Soupcontfoam16oz 116con,540,699
78,2406,2023-10-24,Pike - Frozen Fillet,939,484
